tweet_id,user_id,created_at,text,name,screen_name,followers_count,friends_count,favourites_count,location,cln_txt
1.19837e+18,1.04707e+18,Sat Nov 23 22:55:55 +0000 2019,@sczforv @realDonaldTrump And why is that ?,Brenda Holleman,HollemanBrenda,2.0,18.0,136.0,"Lexington, NC",sczforv
1.19837e+18,100663115.0,Sat Nov 23 22:55:55 +0000 2019,Back edge of rain moving through. Should start to see things dry out across the Catawba Valley. #ncwx #wncwx https://t.co/SWHSMmKkDM,Scotty Powell,ScottyPowell_WX,2223.0,1163.0,44597.0,"Morganton, NC",edge rain moving start see things dry across catawba valley ncwx wncwx
1.19837e+18,44905960.0,Sat Nov 23 22:55:55 +0000 2019,So far 64 teams are bowl eligible.  There are 39 bowls so 78 teams make the post season.   In each of the last eigh… https://t.co/kO36GatXSM,TheDevilsDen.com,TheDevilsDen,10885.0,838.0,62.0,North Carolina,far teams bowl eligible bowls teams make post season last
1.19837e+18,2741453566.0,Sat Nov 23 22:55:55 +0000 2019,@Raging_Red @1956Deplorable1 I c u https://t.co/y2EH8RrKIX,Christian Hillbilly,JlJlane45,1310.0,1884.0,4786.0,east tn,c u
1.19837e+18,2826761196.0,Sat Nov 23 22:55:55 +0000 2019,"Yes!!! Seeing our admin in the halls, connecting with our students... that's the difference.",Nicole S. White,MrsNWhite,410.0,108.0,3401.0,"Fairhope, Alabama, USA",yes seeing admin halls connecting students difference
1.19837e+18,1.158e+18,Sat Nov 23 22:55:55 +0000 2019,@EmersenLee Awwwww it’s cause I am MAGA happy.... 😘 &amp; there is some post-orgasmic glow sprinkled in???? 🤷🏽‍♀️🙈,Dr. Fareena Jaffer,fsj_dr,8555.0,9012.0,22678.0,"Minneapolis, MN",emersenlee awwwww cause maga happy amp glow sprinkled
1.19837e+18,1.11681e+18,Sat Nov 23 22:55:55 +0000 2019,@MikeyBullXXX Yes please,Thor_wolf_pup,thorwolfpup1975,99.0,343.0,2480.0,"Fort Lauderdale, FL",mikeybullxxx yes please
1.19837e+18,1.09108e+18,Sat Nov 23 22:55:55 +0000 2019,So fun seeing all the beautiful work in person from some of my favorite companies. ❤️ @creepycompany @MondoNews… https://t.co/7TA32TIboc,ᴋᴀᴛʏ ᴍ.,guldskelett,24.0,211.0,849.0,"CA, USA, Earth. ",fun seeing beautiful work person favorite companies
1.19837e+18,1.08838e+18,Sat Nov 23 22:55:55 +0000 2019,"@CoachRossWatson Last 2 years......100 Tkl, 63 Solo, 37 Assist, 25 PBU, 4 Int, 1 Sack https://t.co/9uixPFm7ro",(CARC) Carolina Athlete Recruiting Consultants.,CarcCollege,144.0,3989.0,925.0,"Blythewood, SC",coachrosswatson last years tkl solo assist pbu int sack
1.19837e+18,286015793.0,Sat Nov 23 22:55:56 +0000 2019,@noahchehade Babee I would never subtweet u,𝖏𝖔𝖓𝖆𝖙𝖍𝖆𝖓 𝖆𝖞𝖊𝖑𝖊,jonnacabonna,824.0,368.0,22158.0,"Huntington Beach, CA",noahchehade babee would never subtweet u
1.19837e+18,9.33709e+17,Sat Nov 23 22:55:56 +0000 2019,"Managing two careers at the same time is NOT EASY, like really not easy. I have in the process learned the practice… https://t.co/es9z5XRAZd",nathalie.jolivert,NJolivert,156.0,329.0,394.0,"Brooklyn, NY",two careers time easy like really easy process learned
1.19837e+18,292639977.0,Sat Nov 23 22:55:56 +0000 2019,Today I realized the reason why I don’t buy pizza rolls is because I can actually finish the whole bag in one sitting. 🏋🏽‍♀️,punkin spice pussy🎃,SowaaSays,1176.0,512.0,165033.0,"Brooklyn,NY",realized reason buy pizza rolls actually finish whole bag one sitting
1.19837e+18,42420496.0,Sat Nov 23 22:55:56 +0000 2019,"I will also continue to support great Patriots working hard to expose the #FailedCoup, assisted by #FakeNews. In my… https://t.co/l3d2frGapF",SurvivalJane,Survival_Jane,1143.0,1286.0,45658.0,Philly,also continue support great patriots working hard expose failedcoup assisted fakenews
1.19837e+18,48875310.0,Sat Nov 23 22:55:56 +0000 2019,https://t.co/4SEaReT5la,🇵🇰Nasir🌷Uddin🇺🇸,MrNaassir,33503.0,37176.0,694957.0,"Karachi, Pakistan New York USA",
1.19837e+18,35999496.0,Sat Nov 23 22:55:56 +0000 2019,🙌,Amber O'neal,amberoneal1,37741.0,17375.0,21171.0,WORLDWIDE 🌏traveler,
1.19837e+18,715955928.0,Sat Nov 23 22:55:56 +0000 2019,@SS_JZA Theee FUCK?,Maya Abuhijleh,MayaAbuhijleh,294.0,564.0,20873.0,"Kansas, USA",theee fuck
1.19837e+18,7.70438e+17,Sat Nov 23 22:55:56 +0000 2019,😈 https://t.co/5Ok1KcGWba,liv smith,livlivliv127,386.0,753.0,1631.0,"Holden, MA",
1.19837e+18,8.28801e+17,Sat Nov 23 22:55:57 +0000 2019,ok i’m slick ready to get back 😂😂,🤍,Britneeyyyyy_,885.0,824.0,13198.0,9o1 〽️,slick ready get back
1.19837e+18,54104378.0,Sat Nov 23 22:55:56 +0000 2019,@AHaridopolos @realDonaldTrump Don’t you know only Joe Biden can threaten prosecutors and get away from it??,Mashaa,manyeki,1002.0,1139.0,40152.0,"Palm Beach Gardens, FL",aharidopolos know joe biden threaten prosecutors get away
1.19837e+18,131162084.0,Sat Nov 23 22:55:57 +0000 2019,Wydermyer 👍🏼,☈ ob White,Robert_White14,2336.0,1654.0,49589.0,"College Station, TX",
1.19837e+18,7.33298e+17,Sat Nov 23 22:55:56 +0000 2019,".@TPSChrisBoddy @DrummondTPS @PCArsenault @PCPappy @TPSDeputyRamer Bryant at CCLA, jeez. Mayor Jim Watson gave Dalt… https://t.co/R2Ks57wDNs",iRise,TorontoKobus,381.0,841.0,431.0,"Toronto, Ontario",tpschrisboddy bryant ccla jeez mayor jim watson gave
1.19837e+18,227542406.0,Sat Nov 23 22:55:57 +0000 2019,"Our newest pastors can’t wait to meet YOU at TNCC, manana!  Worship kicks @ 10AM!  #sundayfunday @ Throggs Neck Com… https://t.co/ny8NoekCSx",Nik Adwalpalker,nikadwalpalker,787.0,995.0,1119.0,"Bronx, NY",newest pastors wait meet tncc manana worship kicks sundayfunday throggs neck
1.19837e+18,1240774489.0,Sat Nov 23 22:55:57 +0000 2019,@JordynneGrace @orangecassidy @TheMooseNation Orange Cassidy I choose you.,Tío Snorlax,TexansAtWar89,296.0,1650.0,24570.0,"Laredo, TX",jordynnegrace orange cassidy choose
1.19837e+18,1377271122.0,Sat Nov 23 22:55:57 +0000 2019,@MoviesSilently Feel better soon 😞,Tara Sweeney,tara5weeney555,474.0,2634.0,89971.0,"Weehawken, NJ",moviessilently feel better soon
1.19837e+18,7.76059e+17,Sat Nov 23 22:55:57 +0000 2019,@NoleGradBitches Same,Chanta Combs,ChantaCombs,754.0,1136.0,31799.0,"Tallahassee, FL",nolegradbitches
1.19837e+18,964861044.0,Sat Nov 23 22:55:57 +0000 2019,@milk_gttb RAW 😂,Blessed 🇨🇻,Canttellmenutn_,2545.0,2454.0,24878.0,"Pawtucket, RI",raw
1.19837e+18,8.22822e+17,Sat Nov 23 22:55:57 +0000 2019,Dick was 🍤,Equal opportunity CHOKER,chub_B_W,1945.0,521.0,41007.0,Growing 🌱,
1.19837e+18,3906398172.0,Sat Nov 23 22:55:57 +0000 2019,Make sure to come out and support! WAAL cannot wait for you all to see what we have in store!,Wisconsin Association of African-American Lawyers,WAALawyers,186.0,144.0,73.0,"Wisconsin, USA",sure come support waal wait see store
1.19837e+18,24172896.0,Sat Nov 23 22:55:57 +0000 2019,@MaidenEngland96 I could have done her being heel with out the over-dramatic crazy faces. Nikki Cross did them better.,a trash panda,LostBoyLostBeer,956.0,643.0,174703.0,"Vancouver, British Columbia",maidenengland could done heel crazy faces nikki cross better
1.19837e+18,279846911.0,Sat Nov 23 22:55:57 +0000 2019,How I feel now https://t.co/4PJ5kKLDE5,trevor 🆒,TxMulready,577.0,573.0,48124.0,"Detroit, MI",feel
1.19837e+18,3406131314.0,Sat Nov 23 22:55:58 +0000 2019,Yeah thats not the point of this.,Robert Alvarez,ralvarez617,697.0,297.0,8113.0,"Boston, MA",thats point
1.19837e+18,2295628567.0,Sat Nov 23 22:55:58 +0000 2019,Truth Bomb... It gross,#November3rd2020 #KamalaHarris2020,tweetsbydany,2386.0,2313.0,38256.0,"Wakanda, Africa",bomb gross
1.19837e+18,23406987.0,Sat Nov 23 22:55:58 +0000 2019,@abortmeplease Green/Silver Ant.,November Cumming Fire,ChrisIsHCFest,3652.0,4776.0,89452.0,"Philadelphia, PA",abortmeplease ant
1.19837e+18,1.01177e+18,Sat Nov 23 22:55:58 +0000 2019,“you gotta try at least before you give up”,cass 🍂,cassnicole_27,519.0,458.0,11873.0,"Edinburg, TX",got ta try least give
1.19837e+18,297124352.0,Sat Nov 23 22:55:58 +0000 2019,@ceciheco Te adoptamos @AndrsReyes4,sara,sarahernnandez,426.0,316.0,2627.0,México,ceciheco te adoptamos
1.19837e+18,2191676636.0,Sat Nov 23 22:55:58 +0000 2019,@papiworm78,Chucky LoXano,ColtsFanGus,654.0,1556.0,12012.0,"Rio Verde, SLP| CSULA ",papiworm
1.19837e+18,86081891.0,Sat Nov 23 22:55:58 +0000 2019,@snowfulls Please !🙏🏾🙏🏾,Mahabs,Mahabs13,46.0,547.0,962.0,"Fort Lauderdale, FL",snowfulls please
1.19837e+18,24648792.0,Sat Nov 23 22:55:58 +0000 2019,Follow!!!!!!!! Hilarious,Eva_4Moon,Eva_4Moon,74.0,306.0,5185.0,California,hilarious
1.19837e+18,1301103438.0,Sat Nov 23 22:55:58 +0000 2019,@voM0cytosis Oh no!! I hope he’s okay!!!,Becky Rodriguez,beck_ayeee,932.0,437.0,8388.0,NC ☼ DC ☼ MN,vomcytosis oh hope okay
